"(0.0, 0.0)",1
"(39.483, -104.93)",1
"(39.483, -104.928)",1
"(39.516, -105.297)",1
"(39.549, -105.135)",1
"(39.593, -105.222)",1
"(39.599, -105.643)",2
"(39.606, -105.141)",1
"(39.614, -105.064)",1
"(39.614, -105.063)",1
"(39.615, -105.096)",1
"(39.615, -105.094)",1
"(39.615, -105.093)",1
"(39.615, -105.092)",19
"(39.615, -105.081)",1
"(39.615, -105.073)",12
"(39.615, -105.072)",10
"(39.615, -105.071)",10
"(39.615, -105.07)",14
"(39.615, -105.069)",13
"(39.615, -105.068)",13
"(39.615, -105.067)",15
"(39.615, -105.066)",12
"(39.615, -105.065)",12
"(39.615, -105.064)",4
"(39.615, -105.063)",7
"(39.615, -105.062)",15
"(39.615, -105.061)",11
"(39.615, -105.06)",10
"(39.615, -105.059)",13
"(39.615, -105.058)",5
"(39.616, -105.096)",1
"(39.616, -105.094)",1
"(39.616, -105.093)",2
"(39.616, -105.092)",1
"(39.616, -105.09)",7
"(39.616, -105.089)",4
"(39.616, -105.088)",1
"(39.616, -105.086)",1
"(39.616, -105.076)",2
"(39.616, -105.075)",6
"(39.616, -105.074)",7
"(39.616, -105.073)",11
"(39.616, -105.072)",8
"(39.616, -105.071)",12
"(39.616, -105.07)",8
"(39.616, -105.069)",7
"(39.616, -105.068)",12
"(39.616, -105.067)",11
"(39.616, -105.066)",11
"(39.616, -105.065)",7
"(39.616, -105.063)",10
"(39.616, -105.062)",13
"(39.616, -105.061)",10
"(39.616, -105.06)",8
"(39.616, -105.059)",11
"(39.616, -105.058)",7
"(39.617, -105.097)",27
"(39.617, -105.096)",39
"(39.617, -105.095)",22
"(39.617, -105.094)",3
"(39.617, -105.093)",11
"(39.617, -105.092)",7
"(39.617, -105.09)",3
"(39.617, -105.089)",4
"(39.617, -105.088)",1
"(39.617, -105.083)",10
"(39.617, -105.082)",7
"(39.617, -105.081)",13
"(39.617, -105.08)",6
"(39.617, -105.078)",1
"(39.617, -105.076)",11
"(39.617, -105.075)",17
"(39.617, -105.074)",15
"(39.617, -105.073)",11
"(39.617, -105.072)",5
"(39.617, -105.071)",3
"(39.617, -105.07)",6
"(39.617, -105.069)",8
"(39.617, -105.068)",8
"(39.617, -105.067)",8
"(39.617, -105.066)",8
"(39.617, -105.064)",1
"(39.617, -105.063)",7
"(39.617, -105.062)",12
"(39.617, -105.061)",15
"(39.617, -105.06)",13
"(39.617, -105.059)",12
"(39.617, -105.058)",4
"(39.618, -105.097)",18
"(39.618, -105.096)",30
"(39.618, -105.095)",47
"(39.618, -105.094)",7
"(39.618, -105.093)",2
"(39.618, -105.092)",2
"(39.618, -105.091)",4
"(39.618, -105.089)",2
"(39.618, -105.088)",1
"(39.618, -105.087)",1
"(39.618, -105.086)",1
"(39.618, -105.084)",8
"(39.618, -105.083)",21
"(39.618, -105.082)",21
"(39.618, -105.081)",14
"(39.618, -105.08)",7
"(39.618, -105.079)",5
"(39.618, -105.078)",5
"(39.618, -105.077)",10
"(39.618, -105.076)",14
"(39.618, -105.075)",12
"(39.618, -105.074)",8
"(39.618, -105.073)",5
"(39.618, -105.072)",4
"(39.618, -105.071)",4
"(39.618, -105.07)",6
"(39.618, -105.069)",2
"(39.618, -105.068)",7
"(39.618, -105.067)",6
"(39.618, -105.066)",6
"(39.618, -105.065)",3
"(39.618, -105.064)",1
"(39.618, -105.063)",7
"(39.618, -105.062)",8
"(39.618, -105.061)",12
"(39.618, -105.06)",4
"(39.618, -105.059)",7
"(39.618, -105.058)",4
"(39.619, -105.064)",73
"(39.619, -105.063)",9
"(39.619, -105.062)",14
"(39.619, -105.061)",6
"(39.619, -105.06)",6
"(39.619, -105.059)",9
"(39.619, -105.058)",10
"(39.619, -105.057)",2
"(39.62, -105.064)",3
"(39.62, -105.063)",11
"(39.62, -105.062)",7
"(39.62, -105.061)",5
"(39.62, -105.06)",7
"(39.62, -105.059)",9
"(39.62, -105.058)",8
"(39.62, -105.057)",1
"(39.621, -105.065)",1
"(39.621, -105.064)",12
"(39.621, -105.063)",10
"(39.621, -105.062)",10
"(39.621, -105.061)",15
"(39.621, -105.06)",4
"(39.621, -105.059)",3
"(39.622, -105.07)",1
"(39.622, -105.064)",9
"(39.622, -105.063)",8
"(39.622, -105.062)",6
"(39.622, -105.061)",1
"(39.623, -105.064)",1
"(39.623, -105.063)",1
"(39.624, -105.097)",1
"(39.624, -105.092)",1
"(39.624, -104.913)",3
"(39.624, -104.909)",8
"(39.624, -104.908)",63
"(39.624, -104.907)",22
"(39.624, -104.906)",5
"(39.624, -104.905)",9
"(39.624, -104.904)",2
"(39.624, -104.9)",3
"(39.624, -104.899)",3
"(39.624, -104.897)",5
"(39.624, -104.896)",46
"(39.624, -104.895)",1
"(39.624, -104.893)",2
"(39.624, -104.889)",1
"(39.625, -105.107)",11
"(39.625, -105.106)",13
"(39.625, -105.105)",9
"(39.625, -105.104)",9
"(39.625, -105.103)",7
"(39.625, -105.102)",10
"(39.625, -105.101)",13
"(39.625, -105.1)",10
"(39.625, -105.099)",12
"(39.625, -105.098)",11
"(39.625, -105.097)",2
"(39.625, -105.096)",8
"(39.625, -105.094)",1
"(39.625, -104.913)",2
"(39.625, -104.912)",4
"(39.625, -104.911)",4
"(39.625, -104.91)",37
"(39.625, -104.909)",41
"(39.625, -104.908)",183
"(39.625, -104.907)",73
"(39.625, -104.906)",327
"(39.625, -104.905)",1
"(39.625, -104.901)",2
"(39.625, -104.9)",5
"(39.625, -104.899)",3
"(39.625, -104.898)",2
"(39.625, -104.897)",36
"(39.625, -104.896)",124
"(39.625, -104.895)",56
"(39.625, -104.894)",11
"(39.625, -104.893)",11
"(39.625, -104.892)",2
"(39.625, -104.891)",1
"(39.625, -104.889)",2
"(39.625, -104.888)",8
"(39.625, -104.887)",12
"(39.625, -104.886)",8
"(39.626, -105.107)",12
"(39.626, -105.106)",13
"(39.626, -105.105)",12
"(39.626, -105.104)",8
"(39.626, -105.103)",9
"(39.626, -105.102)",11
"(39.626, -105.101)",13
"(39.626, -105.1)",9
"(39.626, -105.099)",8
"(39.626, -105.098)",3
"(39.626, -105.097)",2
"(39.626, -105.096)",50
"(39.626, -105.095)",25
"(39.626, -105.094)",3
"(39.626, -105.093)",22
"(39.626, -105.092)",3
"(39.626, -105.091)",1
"(39.626, -105.087)",3
"(39.626, -105.086)",6
"(39.626, -104.913)",18
"(39.626, -104.912)",39
"(39.626, -104.911)",1
"(39.626, -104.91)",115
"(39.626, -104.909)",19
"(39.626, -104.908)",1
"(39.626, -104.906)",2
"(39.626, -104.905)",1
"(39.626, -104.904)",1
"(39.626, -104.901)",1
"(39.626, -104.9)",11
"(39.626, -104.899)",19
"(39.626, -104.896)",127
"(39.626, -104.895)",127
"(39.626, -104.894)",5
"(39.626, -104.893)",6
"(39.626, -104.892)",1
"(39.626, -104.891)",4
"(39.626, -104.89)",1
"(39.626, -104.889)",4
"(39.626, -104.888)",8
"(39.626, -104.887)",10
"(39.626, -104.886)",9
"(39.627, -105.11)",1
"(39.627, -105.109)",5
"(39.627, -105.108)",4
"(39.627, -105.107)",10
"(39.627, -105.106)",11
"(39.627, -105.105)",10
"(39.627, -105.104)",5
"(39.627, -105.103)",4
"(39.627, -105.102)",12
"(39.627, -105.101)",11
"(39.627, -105.1)",10
"(39.627, -105.099)",1
"(39.627, -105.098)",1
"(39.627, -105.096)",75
"(39.627, -105.095)",72
"(39.627, -105.094)",4
"(39.627, -105.091)",1
"(39.627, -105.09)",1
"(39.627, -105.088)",54
"(39.627, -105.087)",8
"(39.627, -105.086)",10
"(39.627, -105.083)",5
"(39.627, -105.082)",4
"(39.627, -105.038)",4
"(39.627, -104.913)",13
"(39.627, -104.912)",37
